fdm_weak_cases,hybrid_weak_cases,median_fdm_logK_rmse,median_hybrid_logK_rmse,median_hybrid_to_fdm_logK_ratio,n_cases,noise
2,1,0.015916141581058453,0.15347995340577636,10.742604403968762,2,0.005
4,0,0.03198036160184703,0.17821832713264846,6.371754589087859,4,0.01
4,0,0.04813988849953875,0.23550386581779506,5.195211182414658,4,0.015
4,0,0.06439607128040116,0.3176203190142982,4.915357490183449,4,0.02
1,0,0.1641100166522303,1.1332024390238065,5.441817987878416,4,0.05
