hard_selector_count,median_h_rmse,median_logK_rmse,median_selector_regret,median_xi_corr,method,n_cases,obs_noise,strong_pass_count,weak_pass_count
,0.0007337350554778641,0.018423590055724148,,0.9998599542391455,direct_fdm_kle,3,0.005,3,3
,0.001294425435240497,0.03719683195991197,,0.9994379468949748,direct_fdm_kle,3,0.01,3,3
,0.0024542092409974257,0.07503361901797904,,0.997589069095911,direct_fdm_kle,3,0.02,3,3
3,0.020170398023747423,0.5895372555709228,0.0,0.4281923026773493,pinn_hybrid,3,0.005,0,1
3,0.02073221853576787,0.6258828841092315,0.0,0.4379816292002789,pinn_hybrid,3,0.01,0,1
3,0.03378195708446524,0.77669984934455,0.0,0.3843545303211266,pinn_hybrid,3,0.02,0,0
