hard_selector_count,median_h_rmse,median_logK_rmse,median_selector_regret,median_xi_corr,method,n_cases,strong_pass_count,truth_id,weak_pass_count
,0.0015797952729828361,0.0396033920812391,,0.999345130911172,direct_fdm_kle,6,5,123,6
,0.0014582298465996481,0.03643755005134792,,0.9988701939357132,direct_fdm_kle,6,5,456,6
,0.0015543708071704746,0.03333360723733536,,0.9986733449200127,direct_fdm_kle,6,5,789,6
5,0.007614161594170678,0.2337368831434032,0.0,0.9902580486140053,pinn_hybrid,6,0,123,3
6,0.058274515093421464,1.3743479979622837,0.0,0.39764721060082797,pinn_hybrid,6,0,456,0
6,0.02413633080585364,0.6782033389461137,0.0,0.10470630333001793,pinn_hybrid,6,0,789,0
