case,config,n_modes,n_obs,obs_noise,seed,solve_N,fd_step,numerical_rank,relative_rank_1e-6,condition_number,fim_condition_number,gauss_newton_hessian_condition_number,jacobian_frobenius_norm,singular_values,fim_eigenvalues,gauss_newton_hessian_eigenvalues,column_norms
kle3_obs200_noise0.005_seed999,configs/stage3c_hybrid_3mode.yaml,3,200,0.005,999,81,0.001,3,3,10.565685635639651,111.63371295116369,111.63371295116424,1.0630139895801785,"[1.0467805470367604, 0.15631266590359635, 0.09907360327907275]","[43829.9805461832, 977.3459808755748, 392.6231546679583]","[2.191499027309159, 0.048867299043778616, 0.019631157733397808]","[0.15773406446026592, 0.7468925726874489, 0.7397771230690612]"
kle5_obs200_noise0.005_seed999,configs/stage3c_hybrid_5mode.yaml,5,200,0.005,999,81,0.001,5,5,35.576347969239244,1265.6765348283488,1265.676534828401,1.1493605133081226,"[1.014992173203092, 0.40113504555120333, 0.34635981561420903, 0.09556187527294503, 0.028529970925646877]","[41208.36446654145, 6436.372990774636, 4798.604874892368, 365.28288022728185, 32.558369640731414]","[2.0604182233270714, 0.3218186495387325, 0.23993024374461813, 0.018264144011363725, 0.0016279184820365028]","[0.15716797334656152, 0.8314288011334829, 0.5872687576459935, 0.3973085653894879, 0.3198675921578547]"
kle10_obs200_noise0.005_seed999,configs/stage3c_hybrid_10mode.yaml,10,200,0.005,999,81,0.001,10,10,54.33679487870304,2952.4872776916422,2952.487277691096,1.259994396986602,"[1.044617778229999, 0.4347040836852917, 0.40157489107031485, 0.27511008070218446, 0.21653644755572385, 0.13792808601653841, 0.05197216757750746, 0.029090231084843758, 0.02479625880305652, 0.019224869272505257]","[43649.05210376713, 7558.7056149067685, 6450.495725525405, 3027.4222601584975, 1875.5213248021068, 760.9662764874237, 108.04424810818175, 33.84966178278501, 24.59417802512552, 14.783823941789677]","[2.1824526051883586, 0.3779352807453386, 0.32252478627627024, 0.15137111300792502, 0.09377606624010541, 0.03804831382437116, 0.005402212405409115, 0.0016924830891392364, 0.0012297089012563778, 0.0007391911970896214]","[0.16155894922044922, 0.803010257778005, 0.6162701121124162, 0.40412559723752844, 0.33118413360512716, 0.3166266423548289, 0.20117173717031966, 0.23301208314807775, 0.1840046987358444, 0.18706943618722566]"
