case,truth_id,n_obs,obs_noise,seed,n_modes,relative_rank_1e-6,condition_number,gauss_newton_hessian_condition_number,jacobian_frobenius_norm,weakest_singular_value,strongest_singular_value,h0_std,h0_range_min,h0_range_max,config
truth_123_obs_50_noise_0.005_seed_202,123,50,0.005,202,3,3,9.118318528035529,83.14373277871645,0.5206597505512636,0.056230328731827574,0.5127260483129519,0.28714308085267753,0.010584911664007839,0.994703490223378,outputs/stage3c_truth_robustness/truth_123/config_obs50.yaml
truth_123_obs_100_noise_0.005_seed_202,123,100,0.005,202,3,3,9.969345959284059,99.38785885589311,0.6908902908100673,0.06810961322194349,0.6790082973625825,0.31271553611979525,0.010222423147440634,0.9942822078896039,outputs/stage3c_truth_robustness/truth_123/config_obs100.yaml
truth_123_obs_200_noise_0.005_seed_202,123,200,0.005,202,3,3,10.818516144147978,117.04029156118936,1.0096910981529343,0.09195379925617786,0.9948036617687025,0.3067869861021522,0.008912274354006482,0.9946270882591827,outputs/stage3c_truth_robustness/truth_123/config_obs200.yaml
truth_123_obs_400_noise_0.005_seed_202,123,400,0.005,202,3,3,10.952655075712434,119.96065320752976,1.4728115108043311,0.13264348716767507,1.4527983629872334,0.29105611926521946,0.008592836036563573,0.9961494706406018,outputs/stage3c_truth_robustness/truth_123/config_obs400.yaml
truth_456_obs_50_noise_0.005_seed_202,456,50,0.005,202,3,3,6.419389335671944,41.20855944293871,0.4205728581843379,0.06377034954140295,0.4093667017781544,0.2826751818935943,0.01806744480139799,0.9956000057084551,outputs/stage3c_truth_robustness/truth_456/config_obs50.yaml
truth_456_obs_100_noise_0.005_seed_202,456,100,0.005,202,3,3,6.8691036180055285,47.18458451489685,0.5678474504727278,0.08023435278379255,0.5511380829954814,0.3083549266793715,0.017881539664557425,0.9958346395884985,outputs/stage3c_truth_robustness/truth_456/config_obs100.yaml
truth_456_obs_200_noise_0.005_seed_202,456,200,0.005,202,3,3,7.532297680598674,56.73550834915259,0.8132226416466087,0.10522218636873755,0.7925648303327633,0.30191412913536714,0.012380440178743454,0.9958560413658215,outputs/stage3c_truth_robustness/truth_456/config_obs200.yaml
truth_456_obs_400_noise_0.005_seed_202,456,400,0.005,202,3,3,7.825600933037622,61.24002996315928,1.1859361934205264,0.14806274198345684,1.1586799318138485,0.2817320273388808,0.012360308553474643,0.9974831747943423,outputs/stage3c_truth_robustness/truth_456/config_obs400.yaml
truth_789_obs_50_noise_0.005_seed_202,789,50,0.005,202,3,3,10.314416495627269,106.38718764526728,0.5620851080097975,0.05371761079994002,0.5540658109405869,0.2735063599683454,0.016186538928748197,0.9918056899650551,outputs/stage3c_truth_robustness/truth_789/config_obs50.yaml
truth_789_obs_100_noise_0.005_seed_202,789,100,0.005,202,3,3,10.370392787635003,107.54504656983299,0.7390910139645464,0.0700675231336189,0.7266277365523302,0.29899885362362133,0.016209588607977318,0.9937891148686716,outputs/stage3c_truth_robustness/truth_789/config_obs100.yaml
truth_789_obs_200_noise_0.005_seed_202,789,200,0.005,202,3,3,11.441423800523118,130.90617858317788,1.0770201224631968,0.09277115361582336,1.0614340849820678,0.29335997738708863,0.009043477024183632,0.9938099877874492,outputs/stage3c_truth_robustness/truth_789/config_obs200.yaml
truth_789_obs_400_noise_0.005_seed_202,789,400,0.005,202,3,3,11.750812754586775,138.08160039336127,1.5717075680074781,0.131967844805103,1.5507294339311326,0.27685845015861843,0.008948909740851312,0.9962424639969496,outputs/stage3c_truth_robustness/truth_789/config_obs400.yaml
