case,truth_id,n_obs,obs_noise,seed,n_modes,relative_rank_1e-6,condition_number,gauss_newton_hessian_condition_number,jacobian_frobenius_norm,weakest_singular_value,strongest_singular_value,h0_std,h0_range_min,h0_range_max,config
truth_123_obs_200_noise_0.005_seed_202,123,200,0.005,202,3,3,10.818516144147978,117.04029156118936,1.0096910981529343,0.09195379925617786,0.9948036617687025,0.3067869861021522,0.008912274354006482,0.9946270882591827,outputs/stage3c_truth_robustness/truth_123/config_obs200.yaml
truth_456_obs_200_noise_0.005_seed_202,456,200,0.005,202,3,3,7.532297680598674,56.73550834915259,0.8132226416466087,0.10522218636873755,0.7925648303327633,0.30191412913536714,0.012380440178743454,0.9958560413658215,outputs/stage3c_truth_robustness/truth_456/config_obs200.yaml
truth_789_obs_200_noise_0.005_seed_202,789,200,0.005,202,3,3,11.441423800523118,130.90617858317788,1.0770201224631968,0.09277115361582336,1.0614340849820678,0.29335997738708863,0.009043477024183632,0.9938099877874492,outputs/stage3c_truth_robustness/truth_789/config_obs200.yaml
