hard_selector_count,median_h_rmse,median_logK_rmse,median_selector_regret,median_xi_corr,method,n_cases,strong_pass_count,truth_id,weak_pass_count
,0.001294425435240497,0.04056072387270433,,0.9993016020093447,direct_fdm_kle,3,3,123,3
,0.001395232420071687,0.03438614078233003,,0.999459989907095,direct_fdm_kle,3,3,456,3
,0.0012154107066274778,0.03719683195991197,,0.9994379468949748,direct_fdm_kle,3,3,789,3
3,0.00540472700223882,0.14971496749767013,0.0,0.9996850572101267,pinn_hybrid,3,0,123,2
3,0.05555116483391527,1.3470003645980553,0.0,0.4281923026773493,pinn_hybrid,3,0,456,0
3,0.02073221853576787,0.6258828841092315,0.0,0.1591175758736282,pinn_hybrid,3,0,789,0
